DATE,TMIN,TMAX,TOBS,class
02/01/1960,27,45,32,no
04/01/1960,9,39,30,no
05/01/1960,14.5,33,28,no
06/01/1960,20,43,22,no
07/01/1960,14,45,41,no
08/01/1960,26,49,44,no
09/01/1960,27,50,46,no
10/01/1960,35,61,56,no
11/01/1960,49,66,57,no
13/01/1960,43,66,43,no
14/01/1960,41,55,54,no
15/01/1960,31,55,31,no
16/01/1960,19,34,32,no
18/01/1960,24,33,24,no
19/01/1960,8,25,20,no
20/01/1960,8,23,22,no
21/01/1960,5,24,18,no
22/01/1960,2,19,14,no
23/01/1960,-2,21,17,no
25/01/1960,16,47,44,no
26/01/1960,34,50,48,no
27/01/1960,33,52,33,no
28/01/1960,31,35,35,no
29/01/1960,26,35,30,no
01/02/1960,23,54,49,no
02/02/1960,31,50,40,no
03/02/1960,31,45,42,no
04/02/1960,34,45,45,no
05/02/1960,36,46,36,no
06/02/1960,30,40,37,no
08/02/1960,26,49,49,no
09/02/1960,37,56,54,no
10/02/1960,23,57,23,no
11/02/1960,15,29,28,no
12/02/1960,13,29,25,no
13/02/1960,7,29,27,no
15/02/1960,15,45,41,no
16/02/1960,31,55,49,no
17/02/1960,25,49,30,no
18/02/1960,18,36,32,no
19/02/1960,15,32,28,no
22/02/1960,9,30,28,no
23/02/1960,19,28,26,no
24/02/1960,22,29,27,no
25/02/1960,21,28,25,no
26/02/1960,9,28,25,no
27/02/1960,10,26,23,no
29/02/1960,9,28,19,no
01/03/1960,9,26,25,no
02/03/1960,15,25,19,no
03/03/1960,11,24,19,no
04/03/1960,4,19,10,no
05/03/1960,-10,19,14,no
07/03/1960,4,29,26,no
08/03/1960,18,31,27,no
09/03/1960,22,37,32,no
10/03/1960,20,34,25,no
11/03/1960,22,33,30,no
12/03/1960,6,43,32,no
13/03/1960,14,46,30.5,no
14/03/1960,22,39,29,no
15/03/1960,27,32,29,no
16/03/1960,25,32,30,no
17/03/1960,20,34,32,no
18/03/1960,17,35,32,no
19/03/1960,31,36,33,no
21/03/1960,13,39,38,no
22/03/1960,28,40,34,no
23/03/1960,13,46,38,no
24/03/1960,28,39,30,no
25/03/1960,18,38,36,no
26/03/1960,-5.555555556,15.55555556,14.44444444,yes
28/03/1960,28,78,76,no
29/03/1960,39,78,56,no
30/03/1960,38,74,44,no
31/03/1960,36,69,66,no
01/04/1960,49,71,53,no
02/04/1960,39,55,46,no
04/04/1960,45,56,47,no
05/04/1960,34,55,52,no
06/04/1960,38,70,65,no
07/04/1960,37,65,62,no
08/04/1960,41,64,54,no
09/04/1960,29,55,44,no
11/04/1960,42.5,72,70,no
12/04/1960,56,80,77,no
13/04/1960,58,78,67,no
14/04/1960,56,72,60,no
15/04/1960,57,81,60,no
16/04/1960,56,84,81,no
18/04/1960,34,78.5,63,no
19/04/1960,46,73,71,no
20/04/1960,-23.53909465,-20.28120713,-23.02469136,yes
21/04/1960,45,78,76,no
22/04/1960,58,86,82,no
23/04/1960,65,84.5,82,no
25/04/1960,57.5,83,74,no
26/04/1960,50,76,66,no
27/04/1960,46,69,67,no
28/04/1960,51,72,65,no
29/04/1960,52,65,61,no
30/04/1960,37,63,49,no
02/05/1960,32,72,69,no
03/05/1960,47,77,72,no
04/05/1960,56,73,66,no
06/05/1960,50,79,50,no
07/05/1960,39,60,56,no
09/05/1960,39,65,59,no
10/05/1960,40,63,61,no
11/05/1960,40,61,59,no
12/05/1960,35,70,70,no
13/05/1960,36,75,71,no
14/05/1960,48,83,79,no
16/05/1960,58,87,80,no
17/05/1960,53,82,74,no
18/05/1960,57,75,73,no
19/05/1960,57,80,80,no
20/05/1960,59,83,61,no
21/05/1960,47,78,77,no
23/05/1960,51,87,82,no
24/05/1960,65,88,83,no
25/05/1960,62,83,77,no
26/05/1960,57,78,69,no
27/05/1960,52,76,73,no
28/05/1960,51,78,74,no
31/05/1960,11.11111111,26.66666667,25.55555556,yes
01/06/1960,60,82,75,no
02/06/1960,14.44444444,28.33333333,26.11111111,yes
03/06/1960,64,89,86,no
04/06/1960,65,92,87,no
06/06/1960,56,88,73,no
07/06/1960,60,73,67,no
08/06/1960,55,79,76,no
09/06/1960,58,82,78,no
10/06/1960,63,88,85,no
11/06/1960,65,90,74,no
13/06/1960,16.66666667,26.11111111,16.66666667,yes
14/06/1960,58,78,76,no
15/06/1960,59,85,81,no
16/06/1960,58,81,61,no
17/06/1960,54,77,75,no
18/06/1960,58,90,70,no
20/06/1960,64,88,77,no
21/06/1960,66,83,80,no
22/06/1960,68,94,90,no
23/06/1960,72,90,79,no
24/06/1960,57,79,70,no
25/06/1960,58,81,77,no
27/06/1960,62,81,74,no
28/06/1960,17.22222222,35,33.33333333,yes
29/06/1960,73,92,84,no
30/06/1960,68,92,86,no
01/07/1960,66,87,78,no
02/07/1960,68,91,86,no
05/07/1960,54,88,86,no
06/07/1960,64,88,84,no
07/07/1960,62,84,84,no
08/07/1960,17.77777778,31.11111111,28.88888889,yes
09/07/1960,68,88,85,no
10/07/1960,70,88,86,no
11/07/1960,70,96,85,no
12/07/1960,74,94,85,no
13/07/1960,70,86,82,no
14/07/1960,62,83,74,no
15/07/1960,60,79,76,no
16/07/1960,60,85,80,no
18/07/1960,62,86,81,no
19/07/1960,62,90,87,no
20/07/1960,67,92,86,no
21/07/1960,71,90,81,no
22/07/1960,68,86,80,no
23/07/1960,68,83,78,no
26/07/1960,70,83,79,no
27/07/1960,67,93,81.5,no
28/07/1960,64,88,84,no
29/07/1960,65,91,79,no
30/07/1960,68,85,76,no
01/08/1960,58,96,92,no
02/08/1960,69,95,90,no
03/08/1960,70,95,91,no
04/08/1960,70,95,90,no
05/08/1960,71,94,88,no
06/08/1960,70,95,92,no
08/08/1960,70,92,76,no
09/08/1960,67,83,76,no
10/08/1960,59,85,79,no
11/08/1960,58,83,78,no
12/08/1960,55,86,81,no
13/08/1960,60,90,85,no
15/08/1960,68,92,84,no
16/08/1960,68,94,87,no
17/08/1960,72,93,86,no
18/08/1960,67,89,80,no
19/08/1960,64,89,82,no
20/08/1960,60,83,75,no
22/08/1960,64,92,86,no
