DATE,TMIN,TMAX,TOBS,class
01/01/1960,22,48,33,no
02/01/1960,21,49,36,no
03/01/1960,29,50,40,no
04/01/1960,23,50,37,no
05/01/1960,24,57,38,no
06/01/1960,24,60,45,no
07/01/1960,25,61,41,no
08/01/1960,33,64,48,no
09/01/1960,41,61,59,no
10/01/1960,46,62,48,no
11/01/1960,37,58,47,no
12/01/1960,30,51,40,no
13/01/1960,28,50,37,no
14/01/1960,32,55,44,no
15/01/1960,38,48,38,no
16/01/1960,-0.555555556,8.333333333,2.777777778,yes
17/01/1960,27,53,30,no
18/01/1960,30,58,43,no
19/01/1960,32,60,46,no
20/01/1960,31,61,46,no
21/01/1960,37,65,55,no
22/01/1960,42,67,54,no
23/01/1960,39,68,55,no
24/01/1960,41,72,56,no
25/01/1960,46,65,53,no
26/01/1960,40,64,50,no
27/01/1960,38,64,54,no
28/01/1960,34,67,52,no
29/01/1960,35,71,54,no
30/01/1960,36,67,52,no
31/01/1960,37,68,52,no
01/02/1960,42,58,52,no
02/02/1960,39,60,50,no
03/02/1960,36,55,49,no
04/02/1960,36,58,48,no
05/02/1960,42,62,55,no
06/02/1960,40,66,55,no
07/02/1960,42,63,56,no
08/02/1960,50,65,52,no
09/02/1960,43,66,47,no
10/02/1960,42,52,47,no
11/02/1960,35,61,48,no
12/02/1960,33,65,50,no
13/02/1960,37,61,52,no
14/02/1960,1.111111111,16.66666667,10.55555556,yes
15/02/1960,33,62,52,no
16/02/1960,34,62,52,no
17/02/1960,32,68,55,no
18/02/1960,35,58,50,no
19/02/1960,38,55,46,no
20/02/1960,33,61,48,no
21/02/1960,32,63,53,no
22/02/1960,34,59,52,no
23/02/1960,32,61,52,no
24/02/1960,32,61,51,no
25/02/1960,30,62,52,no
26/02/1960,33,62,52,no
27/02/1960,35,60,53,no
28/02/1960,39,58,50,no
29/02/1960,44,60,52,no
01/03/1960,7.222222222,12.77777778,8.888888889,yes
02/03/1960,32,58,50,no
03/03/1960,35,61,52,no
04/03/1960,34,64,54,no
05/03/1960,38,70,60,no
06/03/1960,43,71,61,no
07/03/1960,48,75,64,no
08/03/1960,48,66,65,no
09/03/1960,36,64,56,no
10/03/1960,33,66,54,no
11/03/1960,35,71,63,no
12/03/1960,43,68,54,no
