DATE,TMIN,TMAX,TOBS,class
17/08/1960,64,102,76,no
18/08/1960,65,105,100,no
19/08/1960,66,106,105,no
20/08/1960,66,106,105,no
21/08/1960,64,106,99,no
22/08/1960,59,99,84,no
23/08/1960,49,87,85,no
24/08/1960,55,87,75,no
25/08/1960,53,88,66,no
26/08/1960,60,94,70,no
27/08/1960,55,90,61,no
28/08/1960,54,93,81,no
29/08/1960,58,96,74,no
30/08/1960,56,96,63,no
31/08/1960,58,99,68,no
01/09/1960,58,99,68,no
02/09/1960,56,93,65,no
03/09/1960,66,94,75,no
04/09/1960,55,95,61,no
05/09/1960,56,84,66,no
06/09/1960,59,90,67,no
07/09/1960,59,97,67,no
08/09/1960,57,97,67,no
09/09/1960,65,89,79,no
10/09/1960,67,97,76,no
11/09/1960,71,99,82,no
12/09/1960,20.55555556,38.33333333,23.88888889,yes
13/09/1960,62,100,73,no
14/09/1960,61,98,68,no
15/09/1960,56,98,66,no
16/09/1960,54,90,61,no
17/09/1960,55,86,69,no
18/09/1960,59,91,67,no
19/09/1960,60,94,69,no
20/09/1960,56,94,66,no
21/09/1960,54,95,63,no
22/09/1960,52,83,62,no
23/09/1960,55,86,67,no
24/09/1960,58,91,81,no
25/09/1960,60,95,70,no
26/09/1960,16.66666667,37.22222222,25.55555556,yes
27/09/1960,58,102,78,no
28/09/1960,55,99,68,no
29/09/1960,55,90,71,no
30/09/1960,51,90,63,no
01/10/1960,55,85,64,no
02/10/1960,57,85,65,no
03/10/1960,60,86,72,no
04/10/1960,58,89,66,no
05/10/1960,55,91,71,no
06/10/1960,66,95,72,no
07/10/1960,60,85,66,no
08/10/1960,55,74,61,no
09/10/1960,49,69,57,no
10/10/1960,48,66,58,no
11/10/1960,44,71,58,no
12/10/1960,41,79,54,no
13/10/1960,45,76,65,no
14/10/1960,5.555555556,22.77777778,15.55555556,yes
15/10/1960,47,76,62,no
16/10/1960,49,78,73,no
17/10/1960,47,84,64,no
18/10/1960,46,84,62,no
19/10/1960,48,85,63,no
20/10/1960,49,85,64,no
21/10/1960,50,86,64,no
22/10/1960,48,87,60,no
23/10/1960,52,87,72,no
24/10/1960,44,84,56,no
25/10/1960,9.444444444,22.77777778,16.66666667,yes
26/10/1960,48,80,56,no
27/10/1960,43,74,57,no
28/10/1960,45,72,58,no
29/10/1960,48,75,61,no
30/10/1960,48,80,59,no
31/10/1960,49,84,59,no
01/11/1960,49,83,73,no
02/11/1960,53,83,67,no
03/11/1960,56,81,59,no
04/11/1960,39,59,45,no
05/11/1960,43,61,50,no
06/11/1960,47,58,51,no
07/11/1960,45,63,55,no
08/11/1960,43,67,51,no
09/11/1960,43,62,52,no
10/11/1960,44,68,54,no
11/11/1960,44,68,53,no
12/11/1960,50,63,57,no
13/11/1960,44,64,52,no
14/11/1960,43,60,51,no
15/11/1960,33,64,44,no
16/11/1960,39,63,51,no
17/11/1960,41,61,53,no
18/11/1960,41,63,53,no
19/11/1960,41,57,52,no
20/11/1960,43,63,45,no
21/11/1960,37,65,42,no
22/11/1960,40,60,48,no
23/11/1960,42,63,51,no
24/11/1960,47,64,48,no
25/11/1960,38,69,49,no
26/11/1960,46,70,50,no
27/11/1960,39,49,45,no
28/11/1960,35,57,43,no
29/11/1960,40,57,45,no
30/11/1960,36,55,47,no
01/12/1960,46,72,61,no
02/12/1960,46,72,52,no
03/12/1960,37,66,41,no
04/12/1960,38,49,49,no
05/12/1960,39,55,45,no
06/12/1960,31,55,40,no
07/12/1960,32,56,39,no
08/12/1960,31,54,36,no
